Project;File_Path;SATD_Comment_Pre-Processed;Removal_Commit;Commit_Message_Pre-Processed;Cosine_Similarity;Change_Type;Value_In_The_Five_Level_Likert_Scale
Camel;camel-core/src/main/java/org/apache/camel/model/ProcessorDefinition.java;onexcept can ad rout level nest splitter polici etc camel will fix will routescopedefinit rout scope configur must take place generic processordefinit;7a1c8e84b1ab669fa5f0ceed0236ee1ffae971c6;camel valid rout configur proper use onexcept oncomplet transact etc must top level configur rout nest middl rout;0,5384615385;Method Changed;2
Tomcat;java/org/apache/naming/resources/BaseDirContext.java;todo clean;43387f5bafa93553d8ff5517d8445684eba1c6e9;code clean fix eclips warn implement todo;0,5345224838;Method Changed;4
Tomcat;java/org/apache/catalina/core/ApplicationPushBuilder.java;todo implement nn decod;60e9ce6c260e614578363df0c8016a10e157abab;servlet implement pushbuild todo handl nn encod path;0,5303300859;Method Changed;4
Camel;components/camel-atmosphere-websocket/src/main/java/org/apache/camel/component/atmosphere/websocket/WebsocketConsumer.java;revisit need disabl jsr detect now use jetti use atmospher todo switch use contant applicationconfig websocket suppress jsr aftr atmospher;80c1224b262242cd46a2fdcfe6dfd5c9bc3ffce5;use constant atmospher;0,5270462767;Method Unchanged;5
Camel;components/camel-cdi/src/test/java/org/apache/camel/cdi/CdiContextTestSupport.java;todo workaround support backward compat inject @produc @endpointinject without use @inject let keep old behaviour;ebc488ee663b32e05733d53604c11f1bcccbd5cc;fix camel can support inject via @endpointinject @produc without need @inject though use usual cdi method inject via @inject along process @consum;0,5254938542;Method Changed;5
Tomcat;java/org/apache/catalina/webresources/Cache.java;todo resourc exclud cach;e44e9fb0e105a3e1d8dc51406e4d34439d8427a8;fix todo exclud resourc web inf class web inf lib cach class loader cach mechan;0,5212860351;Method Changed;5
Camel;camel-core/src/main/java/org/apache/camel/management/DefaultManagementMBeanAssembler.java;todo introduc camel jmx annot implement logic assembl jmx annot todo remov spring logic longer need;9b08833283c3c8a971cbc9824d87614cd80df6c4;camel camel base jmx annot assembl mean use jmx longer depend spring jmx reduc dependeni camel core use spring;0,5175491695;Method Changed;5
Tomcat;java/org/apache/catalina/tribes/tipis/AbstractReplicatedMap.java;todo invert call semant breakdown final;8fea200bf245ba6573bf7992275086042b102350;move resourc free code final breakdown final call breakdown instead vice versa;0,5103103631;Method Changed;5
Camel;components/camel-jetty/src/test/java/org/apache/camel/component/jetty/jettyproducer/HttpJettyProducerTwoParametersWithSameKeyTest.java;todo http jetti support header multipl valu;3f905d405d32e46a4d8922ce30871d860314084c;camel add support multi valu header http relat compon;0,5039526307;Method Changed;5
Tomcat;java/javax/el/StandardELContext.java;stream resolv todo use resolv context point;c10555ac0aac813934bf54108f1bc8e4567a3e6a;stream resolv requir will one provid context;0,5039526307;Method Unchanged;5
Tomcat;java/org/apache/coyote/http2/Http2UpgradeHandler.java;stream error todo reset stream;d0240890869401d07c8443a07dc550447f1b3107;streamerror need stream id know stream close;0,5039526307;Method Changed;2
Tomcat;java/org/apache/catalina/connector/Connector.java;fixm setproperti servic servic;8b2bf185f045543c7940a75af5eb6909fbada3fb;simplifi connector keep refer just servic rather servic engin;0,4923659639;Method Unchanged;1
Tomcat;java/org/apache/tomcat/websocket/WsWebSocketContainer.java;temporari hack allow websocket ea tck work confirm non compliant eg lead tck will chang now need tck work;7114d021e54ea2a50794dbdeed6da88e0d5f7672;remov tck hack longer access preview websocket tck;0,4868644956;Method Changed;5
Camel;camel-core/src/main/java/org/apache/camel/spi/Policy.java;todo support async rout engin may need bridg interceptstrategi defaultchannel;6691665fb0ee5e2cf613343062a65174b54ea496;camel polici dsl support async rout engin;0,4780914437;Method Unchanged;5
Tomcat;java/org/apache/coyote/http11/InternalAprOutputBuffer.java;todo implement non block write;f3e9673985f7b382a79e781ecaf6cdda9f3228ae;implement non block write apr add trace level debug code aprendpoint use get work;0,4780914437;Method Changed;5
Tomcat;java/org/apache/jasper/servlet/JasperInitializer.java;todo play nice set null;75728d489018e313c6e796705a455b69c8d4604d;fix todo set jspfactori alreadi set;0,474341649;Method Changed;5
Tomcat;test/org/apache/catalina/connector/TestCoyoteAdapter.java;todo requir switch harmoni base decod fix dotesturidecod foo ed utf foo ufffd;30d93b8a01ae4d31a24cb10c939014c05fda913e;switch cconvert use tomcat harmoni base utf decod;0,4564354646;Method Changed;5
Tomcat;java/org/apache/catalina/ha/session/JvmRouteBinderValve.java;fixm setid trigger session listen chanc regist manag correct id;dc3758ecf176f1c9bb1bffe2aee5d51270a2ebf2;fix don trigger session creation listen chang session id authent;0,4564354646;Method Changed;4
Camel;camel-core/src/main/java/org/apache/camel/component/bean/CamelInvocationHandler.java;todo type convert method signatur;a6584f9378f4cef362938c5d7f96c4e1b6ee1c2b;camel camel proxi now convert answer expect type method signatur avoid class cast except;0,4472135955;Method Changed;5
Camel;camel-core/src/main/java/org/apache/camel/builder/DefaultErrorHandlerBuilder.java;todo futur support onexcept;88ca359343c3a96786d435985f46841eeffcfb6e;camel ad onexcept support defaulterrorhandl;0,4472135955;Method Changed;5
Tomcat;java/org/apache/tomcat/websocket/WsRemoteEndpointImplBase.java;todo better well messag;29969bdf0a6f050b2f3c29738448b07ac06d94f8;fix coupl log messag todo;0,4472135955;Method Changed;5
Tomcat;java/org/apache/catalina/core/StandardService.java;regist server hack serverfactori remov;3f965c9ccdbc0cb5d7b161e298213ce1bdcb9791;remov anoth serverfactori refer;0,4472135955;Method Changed;5
Tomcat;java/org/apache/catalina/authenticator/jaspic/provider/modules/FormAuthModule.java;todo fix charact encod;d67e9e295e4820b38ec705829c9cbb9808c0eaa1;enabl charact encod patch fjodorv;0,4472135955;Method Changed;5
Gerrit;appjar/src/main/java/com/google/gerrit/server/ssh/Upload.java;todo verifi user can access project;a49c3c6ecefb809ed461383c32e40ffd9df91889;support per project access control group project chang may now restrict visibl certain group provid share privat access necessari restrict enforc web ssh daemon per project basi default read access grant anonym user make site visibl can overridden within specif project global remov anonym user read grant default project everyon inherit sign shawn pearc sop@googl com;0,446844455;Method Unchanged;2
Camel;components/camel-netty-http/src/main/java/org/apache/camel/component/netty/http/HttpServerPipelineFactory.java;todo share netti http server ctr handler rout camel messag;c90f924412bbcba14678d3eed8b7c32a57e95c05;camel camel netti http allow share port osgi environ work progress;0,4385290097;Method Changed;3
Tomcat;java/org/apache/coyote/http11/InternalAprOutputBuffer.java;todo review updat socketwrapp last access time;2e0acded3dbbe96a19315d3f8497d1731f4087d3;fix last access time todo ll need wrapper non block chang anyway;0,4364357805;Method Changed;5
Tomcat;java/org/apache/catalina/authenticator/jaspic/AuthConfigFactoryImpl.java;todo handl parallel deploy can done web applic awar deploy parallel;7ebe8645806333b75f72ab42f46bbdcfd846cb82;handl parallel deploy look possibl messi document limit can alway revisit user demand;0,4296689244;Method Unchanged;5
Tomcat;java/org/apache/coyote/http11/filters/ChunkedInputFilter.java;fixm improv pars check crlf;775d5fa422c231f9de36d6cc0aabd9a0e5d5feab;resolv fixm expand unit test cover crlf vs lf check;0,4242640687;Method Changed;4
Camel;camel-jpa/src/main/java/org/apache/camel/component/jpa/JpaProducer.java;todo remov explicit transact handl;bbf92a4425a790dcf44b992a8499cb03e4640ff1;reus spring transact handl util thing play nice spring declar transact handl;0,4216370214;Method Changed;5
Gerrit;appjar/src/main/java/com/google/gerrit/server/ssh/Receive.java;todo append new commit exist chang;ada1c272078cbc958359189d3aa4c69faa368fdb;insert new chang patch set receiv pack chang branch can push ref branchnam insert new commit chang entiti destin branch given ref line commit replac patch set can push ref chang changeid new sign shawn pearc sop@googl com;0,4187178947;Method Changed;3
Camel;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsConfiguration.java;todo upgrad spring new enough spring version can assum cach consum;86142f45f6869caca6db39d1b316d39d27e8ecc0;camel upgrad spring minimum;0,4160251472;Method Changed;5
Tomcat;java/org/apache/coyote/ajp/AbstractAjpProcessor.java;fixm actioncod implement ajp;d9c49e3e5d610efaadaf97b2d4d629f7a7be4ea2;implement dispatch execut action ajp connector;0,4082482905;Method Changed;4
Tomcat;java/org/apache/tomcat/util/net/AbstractEndpoint.java;todo fix ipv;2cdd17f1da7d863d0b881cf2ec8a037ba0df834d;use localhost allow work ipv ipv;0,4082482905;Method Changed;5
Camel;components/camel-restlet/src/test/java/org/apache/camel/component/restlet/RestletProducerTest.java;todo camel support id} uri direct start restlet;2b2e6a58a36fabfa8adcced731cfba5947046e20;camel restlet compon now support use } placehold uri get replac header exchang;0,4082482905;Method Changed;5
Tomcat;java/org/apache/tomcat/websocket/WsSession.java;todo someth went wrong log error;b7e8aea8ca60766ca429cb1e87c06e561f14867f;fix coupl log todo;0,4082482905;Method Changed;5
Tomcat;java/org/apache/tomcat/util/buf/C2BConverter.java;todo better log;815f8ef020a26981a2cca292a15c98d66ed97037;improv log;0,4082482905;Method Changed;5
Camel;camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java;todo re creat rout def start peopl use suspend resum hot restart;d3711affa954e469d295504ae7f1d4af3af7f369;camel camel start re creat rout definit cold start;0,4003203845;Method Changed;5
Camel;components/camel-servletlistener/src/main/java/org/apache/camel/component/servletlistener/CamelContextServletListener.java;todo mayb way camelcontextlifecyclesupport use bean paramet bind ppl can build camel app without camel servletlisten depend codebas todo add exampl add document page;55343f268f5459e03cc052224e3dee62ad163b16;camel ad new camel servletlisten compon bootstrap camel web app without use spring etc work progress;0,3892494721;Method Changed;1
Gerrit;gerrit-gwtui/src/main/java/com/google/gerrit/client/diff/CodeMirrorDemo.java;todo implement intralin;5d5c5c3556c3094fc95fc5d258569151e6818695;implement intralin edit color intralin edit accord span diffinfo chang id da eea da;0,3872983346;Method Changed;4
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfProducer.java;todo method probabl strict valid camel;1e4008fe1ae98f1feff6b027135c662a8908935f;camel add paramet size valid camel cxf produc;0,3872983346;Method Changed;1
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/interceptors/SoapMessageOutInterceptor.java;todo move part header payload payload rout soap soap;273cdbe2a134a53a4fee18e74fc403abb8729d3d;camel fix soap header bug camel cxf endpoint payload data format;0,3846153846;Method Changed;2
Camel;components/camel-crypto/src/main/java/org/apache/camel/converter/crypto/PGPDataFormat.java;todo enabl stream cashedoutputstream;f138f4564d588c7b65f10c04181a70858cea3f6f;camel pgpdataformat enabl stream unmarsh thank franz;0,377964473;Method Changed;3
Camel;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java;todo use spring mail support add attach;9a9e8041610ec05e9a35987ed6b748c4de341901;camel ad unit test mail attach use wiki document;0,377964473;Method Changed;1
Gerrit;gerrit-server/src/main/java/com/google/gerrit/server/change/PostReview.java;todo support arbitrari label name;0e0a41a281263d44c1a8d25cf2eba8ab78a96f0b;fulli support vote arbitrari label most todo cleanup origin ignor unknown label without know sure right long term approach semant chang chang can longer possibl consid submitt publish comment screen contain complet undefin label chang id fe aff da;0,3757345747;Method Changed;4
Hadoop;hdfs/src/java/org/apache/hadoop/hdfs/protocol/DatanodeInfo.java;todo move datanodeid datanodeid store fsimag;a8cbf195480826c25a95e1ef1cbcffa7b3ba4947;hdfs move datanodeinfo#ipcport datanodeid contribut eli collin;0,375;Method Changed;5
Camel;components/camel-spring-integration/src/main/java/org/apache/camel/component/spring/integration/adapter/CamelTargetAdapter.java;todo need check messag header;a102bec6a05674027a0ddc32c26b8ac47713dbcb;camel support send respons messag accord messag header return address cameltargetadapt;0,3721042038;Method Changed;3
Tomcat;java/org/apache/catalina/authenticator/AuthenticatorBase.java;todo handl jaspic parallel deploy;7ebe8645806333b75f72ab42f46bbdcfd846cb82;handl parallel deploy look possibl messi document limit can alway revisit user demand;0,3721042038;Method Unchanged;5
Tomcat;java/org/apache/coyote/http11/upgrade/UpgradeNioProcessor.java;todo implement non block read simpl replac true block two line;3549def9252c6c00dd18885d96b1697b37bb6e3c;fix websocket non block call;0,3721042038;Method Changed;5
Gerrit;gerrit-server/src/main/java/com/google/gerrit/server/change/ChangeEdits.java;todo davido clean return edit doesn exist client call get chang id} revis current commit case consist get content logic client call direct right endpoint;25ad15e451ca506a67ef739167a27f5fff4df2cd;use dedic endpoint commit messag retriev revis instead use get chang number edit messag edit normal revis differenti client side use dedic endpoint chang id cca aa bab;0,3707389989;Method Changed;5
Camel;camel-core/src/test/java/org/apache/camel/management/JmxInstrumentationUsingDefaultsTest.java;todo rout temporari disalb get code instrumentationlifecyclestrategi fix mbsc querynam new objectnam domainnam type rout null assertequ find rout size;cf11eb8fb4e6ca187b573513e49b58cdc361771b;camel rout now also jmx instrument time alter rout runtim rout model whether jmx enabl;0,368037369;Method Changed;5
Tomcat;java/org/apache/coyote/http11/upgrade/UpgradeServletOutputStream.java;todo reus buffer realloc get big;bf3072b59db912e2d6fce538610961e84832fd7b;fix implement todo reus async write buffer write reduc alloc gc overhead base patch leonzhx also don re alloc buffer move data buffer buffer partial written subsequ write make buffer size configur default;0,3658958614;Method Changed;4
Tomcat;java/org/apache/coyote/http11/Http11OutputBuffer.java;end respons status line todo coyoy http constant pre load can drop;ece58ff37dbb932fd1dc433e1885f6b3002a95c1;remov unnecessari code sinc coyot http constant now pre load;0,3651483717;Method Changed;5
Camel;components/camel-cdi/src/test/java/org/apache/camel/cdi/MockEndpointInjectTest.java;todo assertnotnul find inject endpoint current figur abl inject endpoint mockendpoint use @produc plugin without use explicit qualifi annot separ two scenario bit ugli;ea71eeeaecb93182f7a06105256ffc8afeafda76;improv camel can also inject mockendpoint instanc though requir @mock qualifi unfortun unless anyon figur neater way differenti endpoint mockendpoint inject;0,3651483717;Method Changed;4
Tomcat;java/org/apache/tomcat/util/modeler/Registry.java;deprec method may still use tomcat never part offici releas;d759552e9b2a7843db46e249d0a4081fa2818406;remov deprec method;0,3651483717;Method Removal;3
Camel;components/camel-http/src/main/java/org/apache/camel/component/http/HttpComponent.java;todo implement use poll http client;ff63898147087235b1dcd07cbe7693524da03524;ad http poll capabl camel;0,3651483717;Method Changed;5
Camel;components/camel-servlet/src/main/java/org/apache/camel/component/servlet/ServletComponent.java;todo need remov ref camel;df701cc3776833c98a3e2b53f86dfd8f01eabe4b;camel remov option deprec long time;0,3651483717;Method Changed;3
Tomcat;java/org/apache/coyote/http2/Stream.java;todo handl default port;a856a2bb7511d058d2e87af441ea0bc32ff976e3;fix http todo includ port author header http push non standard port use;0,3638034376;Method Changed;4
Tomcat;test/org/apache/tomcat/websocket/TestWsWebSocketContainer.java;must real docbas just use temp context ctx tomcat addcontext system getproperti java io tmpdir fixm use docbas appbas temporari workaround avoid use system temporari directori docbas either bz fix better api bz;7051f91ab01fae54046720c3b79fbd90afa6d8a3;fix allow web applic configur docbas file system primarili intend use embed;0,3638034376;Method Changed;4
Hadoop;hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fair/policies/DominantResourceFairnessPolicy.java;todo now set fair share context drf doesn make sens set valu resourc yarn add sensibl replac;e60fbbcc2e6a0d27d588b620817d29d1c70893a5;yarn add multi resourc fair share metric sandyr via tucu;0,3627381251;Method Changed;5
Camel;components/camel-ahc/src/main/java/org/apache/camel/component/ahc/AhcComponent.java;todo replac copi base constructor remov duplic copi code ahc releas camel;5484df8802467be65f55a58a412d982e5ab630c7;camel updat ahc remov workaround;0,3585685828;Method Changed;4
Gerrit;appjar/src/main/java/com/google/gerrit/server/ssh/Receive.java;todo list new chang id;4a4be9efa594dc5c123783543665ddf5f3766fda;show chang url new chang creat sign shawn pearc sop@googl com;0,3585685828;Method Changed;5
Gerrit;appjar/src/main/java/com/google/gerrit/server/ssh/Receive.java;todo creat new chang record;ada1c272078cbc958359189d3aa4c69faa368fdb;insert new chang patch set receiv pack chang branch can push ref branchnam insert new commit chang entiti destin branch given ref line commit replac patch set can push ref chang changeid new sign shawn pearc sop@googl com;0,356753034;Method Changed;2
Tomcat;java/org/apache/tomcat/util/net/SecureNio2Channel.java;continu unwrap long input buffer stuff todo unwrap appear unwrap one tls record time even multipl tls record input buffer therefor multipl call unwrap requir ensur tls record decrypt written dst may bug tc nativ someth better handl level now unwrap getstatus status ok workaround;69f8bf4a3ae7c71c461db390f106ed44c9781baa;remov unwrap loop replic across unwrap code nio nio still get amount timeout test sinc fix cover non block unwrap block unwrap fix engin unwrap code take account possibl know plaintext read unless tri prime read need repeat thank mark excel debug thank openssl funni behavior test almost fine now niox except get overflow byte counter unwrap read code doesn handl overflow increas socket input buffer avoid although alreadi applic buffer size suppos enough will investig determin best solut;0,3563561571;Method Changed;2
Camel;components/camel-cdi/src/main/java/org/apache/camel/component/cdi/internal/EndpointInjector.java;@produc public endpoint createendpoint injectionpoint point return createendpoint point endpoint class } note appear way cdi say can inject type endpoint onward let make easi also inject mock endpoint @produc protect mockendpoint createmockendpoint injectionpoint point return createendpoint point mockendpoint class };ea71eeeaecb93182f7a06105256ffc8afeafda76;improv camel can also inject mockendpoint instanc though requir @mock qualifi unfortun unless anyon figur neater way differenti endpoint mockendpoint inject;0,3555555556;Method Changed;3
Gerrit;appjar/src/main/java/com/google/gerrit/server/ssh/SshUtil.java;todo log account duplic email;19dead446843ea4b2b028f275783660c365a0ca0;consid account email address login just examin everi singl potenti account ssh login unlik two account will share email address public key sign shawn pearc sop@googl com;0,3535533906;Method Changed;2
Tomcat;java/org/apache/coyote/http2/StreamProcessor.java;todo disconnect;75cd0917ae1663df84875ba7dbbac7b0ddcf3bf0;complet error handl todo;0,3535533906;Method Changed;3
Camel;camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java;todo rout doesnt support resum may leverag callback;9d403b07d61dda7ee97a08f649bd1c9058d4a118;camel suspend resum rout;0,3535533906;Method Changed;2
Camel;camel-core/src/main/java/org/apache/camel/processor/RedeliveryErrorHandler.java;depend kind error handler;3ec88a547cd2de69fc8b4f0ef47fba82d867bb67;camel fix error handler log alreadi handl except;0,3535533906;Method Changed;2
Camel;components/camel-gae/src/test/java/org/apache/camel/component/gae/http/GHttpBindingTest.java;fixm uri encod @test;323b9a36cd85b1b7e3c9d7f9eaae614ed06c6112;test fix;0,3535533906;Method Unchanged;3
Gerrit;appjar/src/main/java/com/google/gerrit/server/LoginServlet.java;todo init can cach;72da046d96b5e205b058efcdeae984791474eccc;move load login html init method way xml pars can cach servlet contain unfortun cach browser need send set cooki header per request content sign shawn pearc sop@googl com;0,3535533906;Method Changed;5
Tomcat;java/org/apache/coyote/http2/Stream.java;todo handl;e6401536142a29c374507d6b209ecf9fd74acf54;processor handl error action;0,3535533906;Method Changed;3
Gerrit;appjar/src/main/java/com/google/gerrit/git/MergeQueue.java;todo better log stderr;536c0503238be04c8b7962780bc0e47434dab5b7;add better error log server code now major place thing can go bad wrong log either onto servlet contain log base rpc servlet log sshd dump deeper code sign shawn pearc sop@googl com;0,3535533906;Method Changed;3
Gerrit;webapp/src/com/google/gerrit/server/GerritServer.java;assum schema doesn exist creat todo implement schema upgrad export script file;f5a97c4ce663accd87c6a260be5a2855c81b6452;add schema version tabl facilit live upgrad current version databas schema store schema version version nbr field futur version gerrit can updat differ valu detect startup upgrad requir upgrad involv ad column tabl possibl manipul data conform new convent actual code requir perform upgrad isn yet abort schema version isn recogn server prevent older gerrit use newer schema newer schema develop sign shawn pearc sop@googl com;0,3503183048;Method Changed;4
Camel;camel-core/src/main/java/org/apache/camel/component/seda/SedaConsumer.java;todo unitofwork callback notif plan replac brand new async api leav;486cd9c629053e9c2e18f7515457efd2a3c631da;camel first cut new async api asyncprocessor @deprec multicastprocessor need migrat thread dsl will replac new async dsl later henc remov;0,3481553119;Method Changed;4
Hadoop;hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/ipc/RPCUtil.java;todo fix yarn;065747efabd1cbea9b14e93e905e304b9973d355;yarn fix way yarnremoteexcept unrol extract under except contribut siddharth seth;0,3481553119;Method Changed;3
Tomcat;java/org/apache/catalina/webresources/Cache.java;don cach resourc use class loader cach todo review exclus class loader resourc handl complet;be469f5c52bc5df1fe132ce101b07160a604f0aa;avoid npe resourc cach make invalid request resourc outsid web applic;0,3469889592;Method Changed;1
Camel;camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java;complet hand want execut current thread thread local bound current thread;540ce5414939a8f2b5853d9547a363beb2f97554;camel optim xpathbuild cleanup thread local evalu optim perform load use thread local ensur better gc well use @xpath annot;0,3468439878;Method Removal;1
Tomcat;java/org/apache/tomcat/util/threads/ThreadPool.java;runnabl throw except can even threaddeath signal thread die mean releas thread pool;c9d1bf5922dcc97504a04cd952699985514b4d50;remov old thread pool code;0,3464101615;Class Removal;5
Tomcat;modules/tomcat-lite/test/org/apache/tomcat/test/watchdog/GTest.java;inner test use current can rework;a1744a00e28af3ad5e229a73ca5d6916618b1a7c;test note need watchdog check built can still built probabl checkin binari bunch use test watchdog run watchdog turn junit test case just need web app golden file moment failur test sever dup test run differ target;0,344031231;Class Removal;1
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/DefaultCxfBinding.java;todo handl messag type futur current bind deal soap payload mode;7ad85b490a32e26e1ba422a36827a326f8501108;camel support multi part messag payload mode;0,3418817294;Method Changed;4
Camel;camel-jbi/src/main/java/org/apache/camel/component/jbi/JbiEndpoint.java;todo inbound activ need regist jbi endpoint;9af85f042f74edd677ef4cc456300f2d239bd547;reorganis import ad test case camel rule automat activ jbi endpoint;0,3418817294;Method Changed;2
